leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
5004560,HARDWICK SCHOOL DISTRICT,VT,VT,-.2834581701280374,.9151334426579915,.1367370557062198,.0900700579522516,.1178750839520829,.0852884805507586,.0556655891339495,.1733814078718564
5004580,HARWOOD UHSD #19,VT,VT,1.823407954286866,1.153907336288581,.16351728354898,.6019203113690976,.2200201095838847,.1101425598538883,.0593784191637087,.1969858842854949
5004590,HARTFORD SCHOOL DISTRICT,VT,VT,.95209992840035,.978958446835578,.0002944514095455,-.1014677556150292,.0588466216974184,.0493754742315205,.0381130361598992,.1131729795190692
5004620,HARTLAND SCHOOL DISTRICT,VT,VT,1.495605056870551,1.168970357620885,-.019868222365599,-.1607197074704891,.0812135793994172,.0654338924346463,.0490540105073864,.1514486264513345
5004650,HIGHGATE SCHOOL DISTRICT,VT,VT,-.3581651317416874,1.014449322228527,-.0105467141902994,-.2767179126265991,.1125104129666312,.0841820747688059,.0531708409214008,.1660892117525445
5004680,HINESBURG SCHOOL DISTRICT,VT,VT,1.758676806969326,1.209047556294318,.0256530427153735,-.2585713060602669,.0749812325187866,.0611403491651193,.0461028717626281,.1404019575747744
5004770,HUNTINGTON SCHOOL DISTRICT,VT,VT,1.60552805689523,1.08558538958631,.144269755346207,-.0129317322805985,.2854693140779553,.1307886271238996,.0725244328235229,.2618990318420896
5004800,HYDE PARK SCHOOL DISTRICT,VT,VT,-.2927261859861421,.8657785218663884,.076321119511616,-.0228313588575114,.1311802674931084,.0916924305612983,.0589199497926788,.1871221374510613
5004860,IRASBURG SCHOOL DISTRICT,VT,VT,.2895139733406049,.9910670918992801,.0429853421732374,-.1662043103997822,.495964103935052,.1433461147955675,.0986718785333792,.3778501843950579
5004980,JERICHO SCHOOL DISTRICT,VT,VT,1.459638435571368,1.06440151999791,.1462592654970535,-.207356862649589,.2507613853216836,.1217067173451545,.0639933319224595,.2130338472662542
5005010,JOHNSON SCHOOL DISTRICT,VT,VT,-.598686359275808,.7898215027678642,.0594520387537133,.1235520265318467,.1306159272485047,.0926878035233333,.0586723271056405,.1893127388805342
5005060,LAMOILLE UHSD #18,VT,VT,-.1922753174215242,.9986458747443016,.101544436435246,.2551806430157479,.2067095744004776,.1036768427034531,.0550114637313964,.1691151110595529
5005120,LELAND AND GRAY UHSD #34,VT,VT,.4170917434806105,1.039869476298533,.018326637756045,.5620622839885855,.2227723047273581,.1104275635305282,.0627233304263287,.2002502624039681
5005160,LINCOLN SCHOOL DISTRICT,VT,VT,1.548189946604293,1.036026208068441,.1104272397319785,-.1144884737039559,.4865530758584836,.1430119558461513,.0890530765569429,.37356507210304
5005250,LUDLOW SCHOOL DISTRICT,VT,VT,-.3510321545622972,.9849343889430622,.0459481911762768,.0515776444031591,.3630933534813149,.140399445991169,.0981257537229152,.355394306656654
5005310,LYNDON SCHOOL DISTRICT,VT,VT,.0596204165262213,1.011534697707893,.0266371380013074,.2719484352768179,.0700960797162411,.0575776582096041,.0442157251233469,.1331216777971181
5005370,MANCHESTER SCHOOL DISTRICT,VT,VT,1.012026457616859,.8775760560694195,-.1976226155650491,.2182391199210958,.0737074429594781,.0604584495968319,.0457040021713288,.1393301713110813
5005490,MIDDLEBURY ID SCHOOL DISTRICT,VT,VT,1.396038024838228,1.138578511403785,.001203233038047,.4286660667771796,.1174682463133976,.0850722193783845,.0550879075675389,.1680485195777458
5005520,MIDDLEBURY UHSD #3,VT,VT,.8824342500767859,1.264082803335761,.1073816645935205,.5156298954176993,.2108272875181339,.1060656303034742,.0570311645780204,.1787517027999277
5005550,MIDDLESEX SCHOOL DISTRICT,VT,VT,1.893386116518613,1.118564094561304,.1112475093529567,-.7805499581681189,.1860127143578766,.1180984747113053,.0732447037836426,.2488185570687074
5005610,MILTON ID SCHOOL DISTRICT,VT,VT,.2634514095821201,.9343031783369596,-.0676919200790832,.3786343086417308,.0552393493179952,.0468778477696304,.0361148481229848,.1066426079846203
5005620,MISSISQUOI VALLEY UHSD #7,VT,VT,-.0575680882610135,.8932709667130919,-.0764605399298438,.2722319122432832,.2082146570374245,.1044758343501703,.0557689447856719,.1720096431608966
5005640,MONKTON SCHOOL DISTRICT,VT,VT,1.435118651527264,.8904842111655021,-.0749187522849788,.2364845027082462,.1475901622815431,.0962336801578081,.0698434644040828,.2175650890141193
5005670,MONTGOMERY SCHOOL DISTRICT,VT,VT,2.847627012007397,1.097512230000841,.0650741299907946,-.0286611320738341,.3943074117343096,.1366192965807561,.0972896251394272,.3624579918141292
5005700,MONTPELIER SCHOOL DISTRICT,VT,VT,1.333814103009866,1.001754534954167,-.0091530116674174,.1385513243943962,.070061018342185,.059561845812968,.0440783984642129,.1331124349639923
5005730,MORETOWN SCHOOL DISTRICT,VT,VT,2.66194230568936,1.145008632779074,-.0313444585301195,-.5499586592385187,.2297869809109749,.121192972513579,.0879851054082167,.3005882249549171
5005790,MORRISTOWN SCHOOL DISTRICT,VT,VT,.4744587234114732,1.01602259907026,.0571046558042127,-.0415149887488799,.0662380369597853,.0561423779798353,.0423191443742697,.1259219078408838
5005810,MOUNT ANTHONY UHSD #14,VT,VT,-.1962738145917804,1.254309798070078,.0310388192485427,-.1404846370210283,.1322364794333183,.0823080234577783,.046326619939873,.1394767953877922
5005840,MOUNT MANSFIELD USD #17,VT,VT,1.721400722493137,1.223965237285437,.1360357001230294,-.0705138040174669,.0821632186744842,.0650735973474152,.0410785948085894,.1237291667556881
5005880,NEW HAVEN SCHOOL DISTRICT,VT,VT,1.251165185188388,.9656085162376095,.0248958165403732,-.3238764074414076,.2605991002155683,.1316892458646252,.0858663145397169,.314775870606562
5005940,NEWBURY SCHOOL DISTRICT,VT,VT,-.0398184690893535,.9395338969294235,-.0644257449977002,-.1133454938209819,.2712861541138205,.1384257516226346,.0844548334729824,.322347345542849
